person_id, female, race, evntgoal, frqdates, frqsocl, sdbefore, height, weight, hairclr, plysprt, wtchsprt, bdybuild, dining, museum, art, hiking, videogam, dancing, reading, tv, theatre, movies, concerts, music, shopping, yoga, samerace, ss1atrct, ss1sincr, ss1intel, ss1funny, ss1ambit, ss1wlthy, ss1court, os1atrct, os1sincr, os1intel, os1funny, os1ambit, os1wlthy, os1court, sd1atrct, sd1sincr, sd1intel, sd1funny, sd1ambit, sd1shrd, sd1wlthy, sd1court, od1atrct, od1sincr, od1intel, od1funny, od1ambit, od1shrd, od1wlthy, od1court, fd1atrct, fd1sincr, fd1intel, fd1funny, fd1ambit, fd1shrd, fd1wlthy, fd1court, Subject, UnderStat, ForeignBorn
306,-0.938,1.844,-0.338,0.45,-0.988,-0.489,0.318,-0.006,-0.899,-2.05,-1.458,-0.144,-3.254,-2.468,-2.091,-1.273,1.357,-2.055,-1.391,0.66,-2.544,-2.575,-2.171,-3.286,-0.15,0.185,-0.92,-0.843,0.331,0.537,-0.305,1.467,0.998,0.736,-0.69,-0.211,-0.416,-0.224,1.281,0.43,-0.356,-0.559,-0.657,0.2,0.342,1.429,-0.449,0.531,0.156,-0.554,-0.061,1.135,-0.404,-0.393,0.872,-0.437,0.339,-0.673,0.152,1.11,-0.285,0.452,-0.423,0.244,0.591,0.056,1.31,1.757
307,-0.938,-0.715,-0.338,-1.061,-0.988,0.994,0.318,0.589,-0.189,1.26,0.678,1.548,0.007,-0.925,-0.237,0.657,-0.617,0.768,0.237,-1.017,0.184,0.771,0.579,-0.297,-0.565,1.077,1.803,0.311,1.09,0.537,0.45,0.394,1.424,0.736,0.373,1.071,0.416,0.434,0.211,0.43,-0.356,1.511,-0.657,-0.537,-0.404,-0.409,0.259,-0.824,-0.71,0.156,-0.061,0.439,0.29,0.442,-0.356,-0.437,-0.652,0.619,0.152,-1.29,-0.965,-0.385,2.349,-1.281,-0.38,-0.471,-1.043,-0.569
308,-0.938,-0.715,1.014,-0.305,-0.988,0.994,0.318,-0.192,-0.189,0.156,-1.458,1.548,1.311,1.647,1.617,-0.308,-1.012,1.574,1.322,1.918,1.548,1.329,1.679,1.198,1.925,1.077,0.782,-0.074,1.09,1.407,0.45,1.467,0.145,1.313,0.019,1.071,1.249,0.434,1.281,-0.009,1.262,0.02,0.032,0.494,-0.404,0.51,-1.157,-0.824,1.195,0.866,-1.584,-0.257,-0.404,1.278,-0.356,0.657,0.339,1.912,-1.567,-0.49,0.396,-1.221,0.27,-1.281,-1.351,0.583,0.526,-0.569
309,-0.938,0.565,1.014,-0.305,2.3,0.994,-1.119,-0.006,-0.899,0.524,-0.034,0.279,0.659,1.133,1.154,1.14,2.146,1.574,0.779,0.66,1.093,0.771,1.129,1.198,0.68,1.077,1.122,2.236,1.09,-0.333,-1.061,0.931,0.145,1.313,1.436,1.071,-1.249,-0.882,0.746,0.87,1.262,2.339,-0.657,0.2,-1.15,-1.328,-1.157,-0.824,0.156,-0.909,0.7,-0.257,0.984,-0.393,-0.97,1.204,0.339,0.619,0.152,1.11,-0.965,-1.221,-1.115,0.244,0.591,-0.997,1.31,1.757
310,-0.938,3.124,1.014,-0.305,0.656,-0.489,0.031,0.923,-0.899,-1.315,1.39,0.702,1.311,0.104,0.227,-2.238,1.751,1.574,0.779,0.66,0.184,0.771,0.579,1.198,0.68,0.185,-0.92,0.696,1.09,0.537,-0.305,1.467,0.572,1.313,0.019,1.071,-0.416,-0.882,0.746,0.43,1.262,2.339,0.72,-1.273,-1.15,-0.409,-1.157,-0.824,-0.71,0.511,-0.061,0.439,-1.097,-0.393,0.258,-0.437,0.339,1.912,1.87,-1.29,-0.965,-1.221,-1.115,-1.281,-0.38,-0.471,-1.043,1.757
311,-0.938,-0.715,0.338,-0.305,-0.166,-0.489,1.754,1.295,-0.189,-0.211,-1.102,-1.836,-0.645,-0.41,-0.237,1.14,1.357,1.171,-0.306,-0.178,0.184,0.214,1.129,0.201,0.265,0.631,-0.92,0.696,1.09,0.537,1.961,0.394,0.998,0.736,0.727,0.43,1.249,1.75,0.211,1.31,0.723,0.683,-1.346,1.672,0.342,-0.409,-1.157,-0.824,0.156,1.576,-1.584,-0.257,-1.791,0.442,-1.584,2.299,-1.644,1.266,-1.567,-0.49,-1.645,0.452,-1.808,3.294,-1.351,-0.997,-1.043,-0.569
312,-0.938,-0.715,-0.338,-0.305,-0.988,-0.489,0.031,-0.192,1.232,1.26,0.322,0.702,0.007,0.618,0.69,-1.756,-0.617,-0.845,0.779,-1.436,0.184,0.771,0.579,0.7,-0.15,-0.261,1.463,-0.074,-0.428,0.537,1.206,0.394,0.145,-0.994,0.019,0.43,0.416,1.75,0.211,0.87,-0.895,1.511,-2.035,1.672,-1.897,0.51,0.967,-0.824,-1.576,0.156,-1.584,-1.648,-0.404,0.442,-1.584,4.487,-1.644,-0.027,-1.567,2.711,-0.285,0.452,0.963,-1.281,-1.351,-0.471,0.526,-0.569
313,-0.938,-0.715,1.014,-1.061,0.656,2.476,0.605,1.295,1.942,-0.947,-0.39,-0.567,-0.645,0.104,0.69,-0.308,0.172,-1.652,1.322,0.241,0.639,0.214,-0.521,-1.293,-0.565,-0.707,1.463,-0.843,-0.428,1.407,-0.305,-1.216,0.998,-2.147,-0.69,-1.493,0.416,-0.224,-0.324,0.43,-1.435,1.097,0.032,1.672,-0.404,-1.328,-0.449,-0.824,-1.576,0.156,-0.061,-0.257,0.984,0.442,-0.356,0.11,0.339,1.266,0.152,0.31,-0.693,-0.719,-0.423,-0.518,-0.38,-0.997,-1.043,-0.569
315,-0.938,-0.715,1.691,-0.305,-0.988,-0.489,0.318,0.737,-0.189,-1.315,-1.458,-1.413,-0.645,0.104,-0.237,-0.308,-1.012,-0.039,-0.849,-1.017,0.184,-0.344,0.029,-0.297,-0.15,-1.599,1.122,-0.843,-1.946,-0.333,0.45,-0.143,0.572,0.736,-1.398,-2.775,-0.416,-0.224,1.281,1.75,1.262,1.511,-2.035,0.2,-1.15,-1.328,0.967,-0.824,-0.71,-0.554,-1.584,-1.648,0.984,-1.228,3.328,-0.984,2.322,1.266,-1.567,1.11,2.436,-1.221,-1.808,-1.281,-1.351,-0.471,0.526,-0.569
316,-0.938,-0.715,-1.014,-1.061,-0.988,-0.489,0.605,0.552,-0.189,1.26,1.39,0.702,0.007,-0.41,-0.7,0.175,-0.223,-0.442,-0.849,-0.178,-0.271,-1.46,-1.071,-0.795,0.68,-0.707,-0.92,2.236,1.09,1.407,1.961,1.467,2.277,1.313,2.145,1.071,1.249,1.75,1.281,2.19,1.262,0.683,-0.657,0.2,1.088,0.51,-1.865,-0.824,0.156,-0.554,-0.061,1.135,0.984,0.442,-0.725,-0.218,-0.454,1.266,-1.567,0.31,1.076,-1.221,0.27,0.244,-1.351,-0.471,0.526,-0.569
317,-0.938,0.565,-0.338,-1.817,-0.166,-0.489,0.605,0.552,-0.899,-0.947,-1.102,0.279,-0.645,0.104,-0.7,-1.756,-0.223,-1.248,-1.391,-1.436,-1.18,0.214,-1.621,-1.792,-0.565,-0.261,-0.239,0.696,0.331,1.407,-0.305,-0.143,0.572,0.159,0.727,0.43,1.249,-0.224,-0.859,0.43,0.184,0.269,0.72,-0.978,-0.703,0.143,-0.307,0.531,0.329,0.156,-0.518,-0.535,-0.126,0.944,-0.356,0.657,-0.652,0.296,0.152,-0.49,-0.148,-0.05,-0.007,-0.061,-0.186,-0.997,0.526,-0.569
318,-0.938,-0.715,1.691,-0.305,-0.988,-0.489,0.318,0.737,-0.189,-1.315,-1.458,-1.413,-0.645,0.104,-0.237,-0.308,-1.012,-0.039,-0.849,-1.017,0.184,-0.344,0.029,-0.297,-0.15,-1.599,1.122,-0.843,-1.946,-0.333,0.45,-0.143,0.572,0.736,-1.398,-2.775,-0.416,-0.224,1.281,1.75,1.262,1.511,-2.035,0.2,-1.15,-1.328,0.967,-0.824,-0.71,-0.554,-1.584,-1.648,0.984,-1.228,3.328,-0.984,2.322,1.266,-1.567,1.11,2.436,-1.221,-1.808,-1.281,-1.351,-0.471,0.526,-0.569
