Date(Sub-Obj),Subject, Object, Talked First, Turn Dur, Turn Dur SD, F0 Min, F0 Min SD, F0 Max, F0 Max SD, F0 Mean, F0 Mean SD, F0 SD, F0 SD SD, Pitch Range, Pitch Range SD, RMS Min, RMS Min SD, RMS Max, RMS Max SD, RMS Mean, RMS Mean SD
220-235,220,235,0,-0.772,-0.3,-0.149,0.001,-1.143,-0.63,-1.09,-0.945,-1.231,-1.134,-1.323,-0.485,-0.046,0.008,0.858,-0.397,0.716,-0.001
315-328,315,328,0,-0.573,-0.924,-1.154,-0.777,-1.196,0.02,-1.207,-0.303,-1.172,-0.143,-1.071,-0.139,-0.554,-0.676,0.677,0.284,0.363,0.382
315-329,315,329,1,-1.279,-1.236,-0.894,-0.803,-0.92,-0.9,-0.648,-1.103,-0.678,-0.813,-0.821,-1.047,-0.745,2.207,0.315,1.146,0.103,1.47
214-239,214,239,0,-0.468,-0.876,-0.837,-0.496,-0.851,-1.204,-0.682,-1.246,-0.701,-1.786,-0.757,-1.497,-0.84,-1.588,0.963,-0.434,0.069,0.081
117-135,117,135,1,1.014,2.14,-1.084,-0.57,-1.18,-0.581,-1.405,0.217,-0.721,-0.251,-1.073,-0.636,-0.422,0.542,0.544,0.413,0.335,0.445
316-336,316,336,1,-0.152,-0.25,-1.137,-0.735,-1.144,-0.405,-1.66,-0.516,-0.998,-0.27,-1.013,-0.521,-1.401,-0.968,1.181,-0.263,0.781,0.26
117-137,117,137,0,-1.324,-1.212,-1.649,-1.585,-1.14,-0.139,-1.755,0.125,0.318,1.341,-0.847,-0.42,-0.722,0.474,0.003,0.18,-0.165,0.569
117-136,117,136,1,2.932,3.102,-1.674,-1.711,-0.671,-0.874,-1.252,-0.589,0.35,-1.325,-0.277,-1.079,-0.767,0.817,0.675,-0.221,-0.13,0.184
117-139,117,139,0,-0.233,-0.171,-1.396,-1.05,-1.379,0.191,-2.253,-0.448,-1.481,0.326,-1.213,-0.107,-0.769,1.286,0.085,0.806,-0.116,1.256
117-138,117,138,0,-0.735,-0.724,-0.429,2.125,-1.101,-0.836,-1.213,0.813,-0.458,0.568,-1.185,-0.152,-0.894,-1.258,-1.018,2.154,-1.184,1.687
315-323,315,323,0,-0.136,0.313,-0.839,-0.42,-1.064,-0.835,-1.033,-1.199,-0.952,-0.512,-1.012,-0.967,-0.777,-0.537,0.244,0.567,-0.184,0.558
315-325,315,325,0,-0.431,-0.431,-0.812,-0.572,-1.047,-0.599,-0.954,-1.201,-1.09,-0.222,-0.999,-0.579,-0.879,-0.647,0.002,0.854,-0.648,0.946
315-326,315,326,0,-0.761,-0.629,-0.657,0.324,-1.13,-0.349,-1.116,-1.227,-1.424,-0.693,-1.148,0.037,-0.696,-0.52,0.35,1.142,-0.065,0.852
315-327,315,327,0,-0.796,-1.01,-0.632,-0.718,-1.148,-0.485,-1.164,-1.074,-1.276,-0.803,-1.177,-0.794,-0.527,-0.461,0.389,0.088,-0.087,0.249
217-226,217,226,0,-0.97,-1.175,0.023,0.769,-0.742,-1.207,0.165,-0.711,-0.764,-0.789,-0.897,-0.695,0.362,-0.152,1.099,-0.449,1.146,0.038
217-224,217,224,0,-0.336,-0.295,-0.196,0.716,-0.719,-1.091,0.037,-0.925,-0.711,-1.167,-0.8,-0.715,0.336,0.139,1.075,-0.448,1.366,-0.421
113-133,113,133,1,-1.424,-1.257,-0.573,-0.301,-1.234,-0.819,-1.305,-0.655,-0.753,-0.228,-1.298,-0.793,-0.195,-0.249,0.554,0.185,0.578,0.527
217-221,217,221,0,-0.583,-0.434,-0.189,0.521,-1.251,0.041,-0.579,-0.254,-1.21,-0.099,-1.44,0.288,-0.591,0.734,0.381,1.194,0.171,1.2
217-229,217,229,0,-1.043,-1.231,-0.363,0.453,-0.74,-1.248,-0.051,-1.147,-0.876,-1.338,-0.772,-1.222,0.223,0.84,0.797,-0.13,0.962,0.572
113-123,113,123,0,-0.436,-0.017,-0.857,-0.146,-1.106,0.039,-1.128,-0.303,-0.373,0.281,-1.056,-0.065,-0.564,-0.696,-2.297,1.518,-1.899,0.766
113-126,113,126,0,0.874,1.481,-0.969,-0.802,-0.787,-1.162,-1.043,-1.456,-0.384,-1.593,-0.639,-1.088,-0.21,-0.906,-0.03,1.055,-0.15,0.889
113-127,113,127,0,-1.666,-1.393,-0.356,0.438,-1.174,-0.809,-0.805,-0.675,-0.661,-0.409,-1.295,-0.518,-0.454,4.773,0.135,0.998,0.117,1.465
113-124,113,124,0,1.255,1.816,-1.206,0.159,-1.22,-0.48,-1.357,-1.029,-0.789,-0.572,-1.083,-0.324,-0.846,0.327,-0.497,1.319,-0.939,1.141
208-222,208,222,0,-1.233,-0.94,-0.625,-0.272,-1.552,-0.503,-1.306,-1.161,-1.72,-1.125,-1.664,-0.663,-0.713,-1.11,-0.051,0.353,-0.284,0.187
113-128,113,128,0,0.81,0.433,-1.162,-0.907,-0.658,-1.64,-0.969,-1.578,0.006,-1.674,-0.422,-1.576,-0.471,0.347,0.807,-0.346,0.255,0.309
212-234,212,234,0,1.732,1.58,-1.233,-0.504,-0.936,-0.854,-1.23,-1.726,-1.489,-1.917,-0.733,-1.005,-1.121,1.287,0.518,0.655,-0.01,0.784
105-130,105,130,0,1.895,1.131,-1.574,-1.223,-0.606,-1.471,-1.009,-0.743,0.066,-1.847,-0.23,-1.764,-0.39,-0.609,0.769,0.492,0.303,0.374
309-332,309,332,0,-0.375,-0.661,-0.911,-0.672,-1.557,-0.256,-1.614,-0.787,-1.722,-0.521,-1.58,-0.244,-1.133,-0.577,-0.779,0.782,-1.116,0.582
309-333,309,333,0,-1.347,-1.139,-0.358,-0.123,-1.445,-0.244,-1.235,-0.75,-1.504,-0.098,-1.62,-0.132,-0.776,-0.299,-2.537,1.059,-1.723,0.607
309-336,309,336,0,-0.498,-0.365,-1.266,-0.322,-1.39,-0.62,-1.45,-1.11,-1.215,-0.463,-1.267,-0.639,-1.046,-1.018,-1.304,1.142,-1.402,0.929
309-337,309,337,1,-1.147,-1.248,-1.152,-0.98,-1.221,-0.968,-1.276,-1.03,-1.024,-0.663,-1.101,-1.199,-1.002,-0.619,-0.706,0.659,-1.189,0.46
110-125,110,125,0,0.63,1.371,-1.258,-0.129,-0.889,-1.285,-1.167,-1.085,-0.343,-1.142,-0.67,-1.114,-0.753,1.593,-2.017,1.582,-2.135,1.365
110-124,110,124,0,-1.538,-0.773,-0.307,1.628,-1.575,0.255,-1.101,0.355,-1.374,1.045,-1.791,0.776,-0.764,2.472,-3.661,1.431,-2.627,0.083
110-127,110,127,0,-0.85,-0.809,-0.88,0.141,-0.926,-0.801,-0.918,0.245,-0.267,-0.747,-0.832,-0.824,-0.454,-0.94,-2.747,0.758,-2.15,0.158
110-126,110,126,0,0.88,1.298,-1.667,-0.941,-0.859,-1.018,-0.895,-0.381,-0.089,-0.423,-0.504,-1.082,-0.663,0.986,-1.558,0.348,-1.947,0.045
110-121,110,121,0,0.04,0.303,-0.955,-0.053,-0.837,-0.443,-1.076,-0.519,-0.492,-0.055,-0.702,-0.352,-1.41,2.745,-1.368,1.348,-1.78,1.403
110-123,110,123,0,-0.184,0.27,-1.143,-0.58,-1.129,-1.319,-1.271,-1.442,-0.677,-1.476,-0.993,-1.262,-0.581,1.308,-1.653,1.855,-1.488,1.745
110-122,110,122,0,-0.6,-0.119,-0.567,-0.084,-1.092,-0.424,-0.781,-0.043,-0.423,0.24,-1.13,-0.435,-1.056,0.437,-3.914,1.232,-3.055,0.805
213-222,213,222,0,-1.148,-0.996,-0.4,1.356,-1.549,-0.233,-1.207,0.5,-1.408,0.086,-1.731,-0.176,-0.731,-0.605,-2.817,1.192,-2.181,0.64
107-124,107,124,0,-0.729,-0.303,-0.642,-0.639,-1.23,-0.869,-1.204,-0.813,-1.221,-1.208,-1.272,-0.917,-0.11,-0.035,1.036,-0.198,1.081,0.06
110-129,110,129,0,-0.209,-0.036,-1.121,-0.404,-0.837,-1.562,-0.413,-0.079,0.141,-1.021,-0.65,-1.676,-1.08,0.421,-3.107,1.263,-2.609,0.651
110-128,110,128,0,0.199,-0.041,-1.165,-0.385,-0.803,-0.705,-1.042,-1.134,-0.064,-0.899,-0.595,-0.699,-1.076,-0.874,-2.976,0.519,-2.816,0.074
316-327,316,327,0,-0.174,-0.102,-0.764,-0.609,-1.147,-0.199,-1.451,0.204,-1.329,-0.215,-1.135,-0.254,-0.562,-0.425,1.099,0.312,1.063,1.301
316-326,316,326,0,-0.448,-0.606,-1.106,-0.732,-0.996,-0.845,-1.331,-1.043,-0.971,-1.177,-0.845,-1.002,-0.661,0.442,1.402,-0.154,1.438,0.178
316-325,316,325,0,0.446,0.477,-0.991,-0.193,-0.728,-1.155,-1.27,-0.662,-0.94,-1.654,-0.56,-1.269,-0.743,0.163,1.469,-0.716,1.635,0.132
316-323,316,323,0,0.188,-0.317,-1.68,-1.465,-1.134,-0.415,-1.64,-1.264,-1.024,-0.655,-0.83,-0.437,-1.238,-0.591,1.217,0.196,0.75,0.681
316-329,316,329,1,-1.079,-1.115,-0.93,-0.001,-0.97,-0.533,-0.898,0.066,-0.646,-0.752,-0.87,-0.581,-0.53,1.253,1.274,0.161,1.286,0.709
316-328,316,328,0,-0.529,-0.485,-1.022,-0.847,-1.326,-0.525,-1.4,-0.733,-1.189,-0.417,-1.268,-0.771,-0.465,1.062,1.391,-0.651,1.603,0.352
116-133,116,133,0,0.652,0.749,-1.007,-0.391,-0.723,-1.047,-0.73,-1.063,-0.315,-0.959,-0.55,-0.998,-0.241,-0.569,1.056,-0.641,0.372,0.273
209-240,209,240,0,2.181,1.327,-1.479,-1.378,-0.897,-0.913,-1.206,-1.461,-1.23,-1.063,-0.609,-1.092,-0.785,-1.803,1.048,0.084,0.423,0.731
112-135,112,135,1,1.664,2.283,-1.022,-0.173,-1.055,-0.655,-0.837,-0.805,-0.946,-1.016,-0.943,-0.563,-0.495,2.623,-0.04,0.852,-0.452,1.093
108-128,108,128,0,0.085,-0.029,-0.629,1.796,-0.361,-1.971,-0.507,0.103,-0.258,-0.678,-0.234,-1.077,-0.707,-1.028,-0.09,0.382,-0.501,-0.053
108-129,108,129,0,-0.164,-0.194,-1.226,-0.805,-0.75,-1.228,-0.91,-0.499,-0.475,-0.869,-0.513,-1.372,-0.458,-1.093,-0.299,0.099,-0.543,-0.328
108-126,108,126,0,-0.475,0.097,0.049,0.445,-1.084,-0.343,-0.796,0.277,-0.925,-0.36,-1.315,-0.544,-0.935,1.574,-1.011,2.123,-1.063,1.766
108-127,108,127,0,-1.362,-1.057,-0.606,-0.053,-1.187,-0.682,-0.942,-0.707,-0.745,-0.587,-1.232,-0.807,-0.261,-0.351,0.206,1.027,0.01,1.225
108-124,108,124,0,-0.265,-0.248,-0.905,-0.244,-1.287,-0.537,-1.109,-1.101,-1.402,-0.859,-1.258,-0.519,-0.669,0.001,0.42,0.058,-0.256,-0.265
108-125,108,125,0,-0.154,0.04,-0.61,0.168,-0.965,-0.921,-0.782,-0.608,-0.886,-0.28,-0.964,-0.978,-0.726,-0.686,0.01,0.769,-0.599,0.771
108-122,108,122,0,0.953,0.472,-0.958,-0.745,-0.872,-1.084,-0.904,-1.019,-0.774,-0.343,-0.744,-1.306,-0.961,-1.436,0.792,-0.453,-0.052,-0.179
116-139,116,139,0,0.093,0.554,-0.873,-0.266,-1.261,-0.067,-1.28,-1.061,-1.319,0.283,-1.237,0.009,-0.247,-0.443,1.075,-0.182,0.96,0.163
206-224,206,224,0,-0.264,1.281,-0.274,0.117,-1.159,-0.838,-0.576,-1.215,-1.107,-1.426,-1.303,-0.794,-0.563,-0.899,0.301,0.459,-0.218,0.606
311-325,311,325,0,1.967,1.343,-0.731,-0.132,-1.121,-0.192,-0.963,-0.83,-1.499,-0.519,-1.114,-0.012,-1.742,1.706,0.08,2.34,-0.432,2.771
206-226,206,226,0,0.332,0.197,0.166,0.683,-0.86,-1.012,-0.327,-0.537,-1.06,-1.32,-1.084,-0.626,-0.72,-0.546,0.157,0.56,-0.478,0.145
206-222,206,222,0,-0.574,-0.457,0.228,1.922,-0.96,-1.122,-0.438,-0.226,-1.174,-0.96,-1.223,-0.509,-1.164,-0.637,-0.784,2.091,-1.056,1.606
311-323,311,323,0,0.149,-0.502,-0.733,0.03,-1.077,-0.458,-0.772,-0.866,-1.298,-0.966,-1.06,-0.401,-1.549,-0.437,-0.647,1.324,-1.393,1.295
308-335,308,335,0,0.921,0.004,-1.129,-0.398,-0.603,-1.365,-0.736,-0.868,-0.799,-1.54,-0.368,-1.34,-0.862,1.017,1.306,-0.879,0.605,0.362
218-236,218,236,0,1.979,1.596,0.015,0.207,-0.766,-0.968,-0.619,-1.681,-1.146,-1.615,-0.923,-0.799,-0.546,-0.487,0.821,-0.687,0.162,-0.133
308-337,308,337,0,0.242,-0.339,-1.171,-0.89,-0.82,-1.262,-0.988,-0.602,-1.013,-0.931,-0.614,-1.444,-1.135,-0.583,0.085,1.185,-0.562,1.214
308-336,308,336,0,1.57,1.306,-1.053,-0.389,-0.66,-1.344,-0.794,-0.248,-0.681,-1.863,-0.46,-1.331,-1.13,1.462,0.037,1.665,-0.553,1.618
206-229,206,229,0,0.47,0.04,-0.663,-0.124,-0.868,-0.721,-0.914,-1.865,-0.88,0.005,-0.832,-0.472,-1.206,1.611,-0.406,1.455,-1.035,1.671
308-333,308,333,0,-0.147,-0.891,-0.978,-0.115,-0.536,-1.25,-0.269,-0.791,-0.517,-1.368,-0.334,-1.394,-0.865,2.204,0.562,0.522,0.095,1.484
212-230,212,230,0,0.268,-0.06,-0.81,-0.172,-0.576,-1.861,-0.429,0.218,-0.377,-0.713,-0.436,-1.823,-0.594,-1.39,0.335,0.532,-0.29,0.336
218-234,218,234,0,1.172,0.442,-0.992,-0.544,-0.399,-1.663,-0.745,-1.654,-0.663,-1.749,-0.166,-1.51,-0.574,-0.167,0.247,-0.072,-0.109,-0.135
104-129,104,129,0,-0.546,-0.344,0.06,0.729,-0.831,-1.411,-0.161,-0.722,-0.983,-0.276,-1.015,-0.903,0.063,-0.928,0.943,-0.54,0.655,0.045
218-235,218,235,0,0.84,-0.088,-1.056,-0.354,-0.505,-1.555,-0.779,-1.667,-0.866,-1.492,-0.273,-1.533,-0.593,-0.686,1.142,-0.827,0.308,-0.214
113-139,113,139,0,-0.409,-0.006,-1.149,-0.697,-1.232,-0.749,-1.464,-1.483,-0.911,-0.825,-1.115,-0.936,-0.687,-0.694,0.198,-0.013,-0.076,0.574
108-123,108,123,0,1.321,1.417,-1.14,-0.461,-0.778,-1.183,-1.02,-1.405,-0.949,-0.71,-0.574,-1.034,-0.778,-0.808,0.736,0.707,0.297,1.111
108-121,108,121,0,-0.506,-0.39,-0.668,-0.427,-1.109,-0.757,-1.086,-0.669,-1.206,-0.882,-1.119,-0.923,-0.509,-1.015,1.079,-0.407,0.446,-0.054
218-239,218,239,0,1.11,0.358,-0.075,-0.04,-0.739,-1.274,-0.751,-0.952,-1.134,-1.601,-0.862,-1.153,-1.319,-1.089,0.752,0.119,-0.159,0.291
212-236,212,236,0,1.384,0.694,-0.902,-0.724,-0.6,-1.846,-0.809,-1.272,-0.839,-1.696,-0.435,-1.88,-0.595,-0.558,1.185,-0.94,0.58,-0.33
302-336,302,336,0,0.025,-0.068,-0.887,-0.044,-0.713,-1.5,-0.935,-1.132,-0.65,-1.103,-0.575,-1.367,-1.234,-0.786,-0.138,1.156,-0.847,0.711
212-237,212,237,0,2.954,1.121,-1.14,1.068,-0.664,-0.851,-0.852,-0.368,-0.985,-0.9,-0.437,-0.103,-1.226,0.315,0.103,1.831,-0.402,1.591
311-326,311,326,0,0.663,0.756,-1.117,-0.696,-1.191,-0.342,-1.08,-1.249,-1.654,-1.111,-1.076,-0.296,-1.063,-0.239,0.774,0.923,-0.014,0.817
104-139,104,139,0,-1.323,-1.258,0.874,1.14,-1.46,-0.297,-0.643,-0.55,-1.926,0.382,-2.026,-0.268,-0.284,-0.976,0.016,0.92,-0.006,1.205
104-138,104,138,0,-1.347,-1.031,0.438,1.356,-1.705,-0.564,-0.929,-1.917,-2.463,-0.998,-2.182,-0.481,-0.506,-0.494,0.092,0.061,0.28,0.208
119-125,119,125,0,0.176,-0.237,-0.629,-0.771,-1.333,0.065,-1.659,-1.747,-1.628,0.081,-1.4,0.077,-0.506,-0.591,-0.803,0.878,-0.694,0.512
119-126,119,126,0,-0.036,-0.236,-0.91,-0.601,-0.904,-0.568,-1.358,0.388,-0.844,0.176,-0.797,-0.772,-0.374,-1.367,-0.368,0.777,-0.657,0.234
119-127,119,127,0,-1.19,-1.221,-0.785,-0.842,-1.248,-0.562,-1.376,-1.426,-0.748,0.1,-1.249,-0.597,0.059,-0.827,-1.538,0.485,-0.896,-0.055
201-226,201,226,0,-0.761,-0.878,-1.086,-0.038,-0.817,-1.448,-0.782,0.227,0.082,-1.294,-0.637,-1.603,-0.323,-0.172,-1.486,0.754,-1.225,0.2
201-224,201,224,0,-0.622,-0.032,-0.971,-0.268,-1.115,-0.375,-1.272,0.002,-0.574,0.05,-1.031,-0.426,-0.504,-0.006,-2.24,1.629,-1.818,0.862
119-128,119,128,0,0.283,0.453,-1.187,-0.689,-0.566,-1.276,-0.85,0.328,-0.11,-0.651,-0.305,-1.289,-0.291,-0.562,-1.339,1.265,-1.058,0.476
119-129,119,129,0,-0.352,-0.198,-1.174,-1.095,-0.888,-1.335,-1.19,-0.964,-0.389,-1.026,-0.695,-1.426,-0.544,-0.522,-1.203,0.71,-1.099,0.088
201-221,201,221,0,-0.737,-0.915,-1.114,-0.642,-1.182,-0.217,-1.285,-0.968,-0.718,0.229,-1.065,-0.267,-0.65,2.113,-0.718,0.877,-1.11,0.53
113-138,113,138,0,0.726,0.606,-1.092,-1.053,-1.553,0.098,-1.77,-1.561,-1.618,-0.505,-1.518,0.078,-0.529,0.639,0.83,-0.213,0.549,0.793
107-129,107,129,0,-0.429,-0.203,-0.795,-0.992,-0.763,-1.226,-0.745,-0.295,0.008,-1.663,-0.664,-1.582,-0.467,-0.512,0.703,0.427,0.353,0.543
107-125,107,125,0,0.531,0.027,-0.783,-0.445,-0.713,-1.389,-0.865,-0.144,-0.51,-0.873,-0.608,-1.61,-0.667,-0.052,0.832,0.558,0.262,0.942
205-240,205,240,0,0.337,-0.429,-1.686,-1.553,-0.787,-1.032,-1.254,-1.317,-0.245,-0.039,-0.412,-1.11,-0.846,-0.902,-0.576,0.598,-1.299,1.061
107-126,107,126,0,1.972,1.409,-1.07,-0.588,-0.564,-1.51,-0.913,-1.866,-0.288,-1.135,-0.339,-1.256,-0.864,0.658,1.105,0.01,0.5,1.133
107-121,107,121,0,0.271,-0.434,-0.977,-0.406,-0.681,-1.817,-0.747,-0.226,-0.229,-1.822,-0.508,-1.862,-0.86,-0.861,1.057,-0.281,0.543,0.843
107-123,107,123,1,0.628,0.187,-1.019,-0.274,-0.771,-1.262,-0.959,-1.395,-0.907,-1.408,-0.603,-1.3,-0.766,-0.627,1.212,-0.671,0.532,0.148
107-122,107,122,0,1.271,1.608,-0.898,0.299,-0.774,-1.614,-0.636,-0.35,-0.448,-0.749,-0.645,-1.121,-0.996,-1.006,0.484,1.253,-0.025,1.409
204-240,204,240,0,4.106,3.222,-1.306,-0.608,-0.844,-0.942,-1.177,-1.535,-0.917,-1.433,-0.6,-0.775,-1.183,-0.867,0.991,-0.369,0.315,0.659
211-238,211,238,0,-0.212,0.049,-1.057,0.443,-1.08,-1.082,-0.895,-0.998,-1.06,-0.395,-0.962,-0.877,-0.567,0.096,-0.941,0.942,-1.13,0.721
311-329,311,329,1,-0.585,0.392,-0.116,1.184,-1.154,-0.906,-0.604,-0.439,-1.349,-1.098,-1.347,-0.684,-1.432,0.593,-0.842,2.45,-1.299,2.052
215-222,215,222,1,-0.687,-0.555,-1.176,-0.741,-0.895,-1.116,-1.096,-0.689,-0.476,-0.57,-0.703,-1.031,-0.752,-0.182,-0.766,1.138,-0.943,0.737
215-224,215,224,0,-1.638,-1.265,-0.187,1.113,-1.303,-0.729,-0.697,0.517,-0.901,-1.016,-1.504,-0.96,0.138,-0.684,-1.584,1.856,-0.918,0.919
215-226,215,226,0,-0.357,-0.123,-0.988,-0.578,-0.958,-0.942,-0.761,-0.212,-0.499,-1.279,-0.837,-1.196,-0.006,2.064,-0.561,1.179,-0.473,0.381
215-229,215,229,0,-1.226,-1.445,-1.425,-0.961,-1.072,-1.009,-1.08,-0.695,-0.324,-0.555,-0.836,-1.164,-0.105,-0.467,-0.97,0.626,-0.86,0.385
308-332,308,332,1,0.233,-0.352,-0.896,-0.153,-0.496,-1.593,-0.502,0.263,-0.309,-1.365,-0.312,-1.692,-0.944,1.249,-0.026,1.988,-0.802,1.991
114-139,114,139,0,0.072,0.163,-0.557,-0.334,-1.304,-0.614,-1.388,-1.295,-1.516,-1.015,-1.387,-0.64,-1.086,-0.68,0.103,0.93,-0.469,0.696
105-123,105,123,0,2.322,2.423,-1.838,-1.654,-0.791,-0.746,-1.339,-0.753,-0.53,-0.811,-0.369,-1.085,-0.917,1.679,0.751,1.078,0.181,1.749
105-122,105,122,0,4.489,5.15,-1.456,-0.433,-0.684,-1.811,-1.094,-1.387,-0.28,-2.492,-0.361,-1.661,-0.74,0.673,0.908,0.305,0.059,0.159
105-121,105,121,0,-0.23,-0.274,-1.168,-0.253,-0.876,-0.865,-0.954,-0.143,-0.342,-0.645,-0.682,-1.129,-0.672,0.182,0.396,0.934,-0.01,0.926
105-127,105,127,0,-0.776,-0.775,-1.143,-0.138,-0.926,-0.181,-0.675,0.594,-0.127,0.099,-0.749,-0.309,-0.119,0.922,0.086,1.137,0.066,1.052
105-126,105,126,0,2.262,0.94,-1.839,-1.505,-0.836,-0.98,-1.193,-0.259,-0.218,-1.179,-0.423,-1.218,-0.517,-0.182,1.131,-0.716,-0.168,-0.173
105-125,105,125,0,1.639,1.08,-0.226,3.284,-0.745,-0.909,-0.793,2.377,-0.658,-0.719,-0.822,-0.213,-0.17,-0.139,0.31,1.988,0.176,1.853
105-124,105,124,0,-0.199,0.477,-1.514,-0.692,-1.003,-0.739,-1.172,-0.488,-0.063,-0.17,-0.725,-0.836,-0.305,0.652,-0.198,1.103,-0.721,1.089
105-129,105,129,0,-0.172,0.349,-0.831,0.548,-0.7,-1.559,-0.459,-0.33,0.436,-0.811,-0.577,-1.061,-0.277,-0.409,-0.823,1.663,-0.954,0.874
105-128,105,128,0,3.341,2.065,-1.906,-1.842,-0.382,-1.869,-0.694,0.247,0.503,-0.205,0.142,-2.095,-0.109,-1.115,0.878,0.516,0.531,0.523
310-336,310,336,0,-0.448,-0.686,-1.692,-1.452,-0.899,-1.035,-1.373,-0.297,-0.163,-0.583,-0.544,-1.228,-0.74,-0.921,-0.589,0.794,-0.976,0.713
310-337,310,337,0,-0.55,-0.798,-1.856,-1.827,-1.383,-0.361,-1.732,-0.61,-0.722,-0.304,-1.073,-0.616,-0.904,-0.198,-1.572,1.028,-1.611,0.651
310-335,310,335,0,0.02,-0.585,-1.628,-1.501,-0.877,-0.923,-1.558,-0.544,-0.137,-0.373,-0.538,-1.108,-1.015,-1.08,-0.477,1.041,-0.841,1.011
208-235,208,235,0,-1.113,-1.03,-0.34,0.586,-1.09,-0.835,-0.529,-0.504,-1.102,-0.685,-1.199,-0.72,-0.178,-0.433,-0.064,1.241,-0.149,1.082
219-226,219,226,0,-1.063,-1.14,-0.426,0.132,-0.82,-0.927,-0.403,0.14,-0.638,-0.82,-0.848,-0.837,-0.488,-0.337,0.377,1.193,0.121,1.538
219-222,219,222,0,-0.913,-1.304,-1.26,-0.578,-0.889,-0.766,-1.11,-0.643,-0.348,-0.028,-0.669,-0.759,-1.099,0.02,0.624,0.597,0.185,1.082
115-133,115,133,0,1.003,1.207,-0.919,-0.381,-0.948,-0.603,-0.877,-1.244,-1.036,-0.783,-0.846,-0.488,-0.918,-0.554,0.505,1.061,0.195,1.098
203-229,203,229,0,0.114,0.292,-0.91,-0.808,-0.864,-1.105,-1.076,-1.135,-0.556,-1.134,-0.748,-1.325,-0.395,-1.136,0.467,0.611,-0.166,0.168
304-323,304,323,1,0.075,0.212,-0.713,0.328,-1.459,-0.225,-1.329,-0.978,-1.567,-0.431,-1.524,-0.203,-1.706,-1.093,-2.507,0.99,-2.512,0.38
206-235,206,235,0,-0.133,-0.12,-0.667,-0.048,-0.953,-0.912,-0.633,-1.501,-1.122,-1.009,-0.932,-0.668,-0.577,-1.372,0.075,0.583,-0.382,0.511
115-137,115,137,0,-0.758,-0.624,-0.296,0.686,-1.017,-0.895,-0.555,-1.118,-1.044,-0.862,-1.126,-0.552,-0.776,-0.039,0.499,0.836,0.374,1.545
115-135,115,135,0,0.217,0.406,-0.14,0.277,-1.084,-0.756,-0.796,-1.008,-1.289,-1.223,-1.255,-0.515,-0.806,0.007,0.178,0.921,-0.222,1.181
304-336,304,336,0,1.416,2.729,-0.496,-0.432,-0.974,-0.867,-1.021,-0.769,-0.93,-0.154,-1.012,-0.899,-1.949,-1.575,-1.205,1.522,-1.899,1.357
307-329,307,329,0,-0.82,-0.388,-0.824,0.08,-1.131,-0.664,-0.977,0.369,-0.733,-0.441,-1.096,-0.778,-1.018,2.031,-1.279,2.063,-1.184,1.808
307-328,307,328,0,-0.603,-0.695,-0.628,0.196,-1.164,-0.668,-1.315,0.161,-1.023,-0.453,-1.198,-0.444,-0.82,-0.748,-0.65,1.479,-0.628,1.691
307-323,307,323,0,0.321,0.562,-1.24,-1.051,-1.029,-1.18,-1.379,-0.71,-0.863,-0.936,-0.843,-1.29,-0.837,-0.827,0.106,0.688,-0.312,0.933
307-325,307,325,0,1.962,1.633,-1.228,-0.681,-0.947,-0.828,-1.351,-0.449,-0.604,-0.783,-0.748,-0.816,-1.548,1.015,0.05,1.507,-0.511,1.422
307-326,307,326,0,-0.597,-0.755,-0.614,-0.258,-1.324,0.019,-1.6,-0.591,-1.531,-0.055,-1.393,-0.008,-0.651,-0.026,1.155,-0.144,1.035,0.732
102-138,102,138,0,0.344,0.132,-0.427,-0.299,-1.283,-0.368,-1.413,-0.583,-1.498,0.044,-1.403,-0.359,-1.338,1.805,0.326,0.829,-0.304,1.393
104-133,104,133,0,-0.344,-0.618,-1.125,0.362,-1.044,-0.758,-0.512,-1.461,-0.902,-0.929,-0.898,-0.465,-0.517,-0.966,-0.082,0.614,-0.456,0.478
112-128,112,128,0,2.251,1.683,-1.547,-0.886,-0.39,-2.1,-0.531,-1.297,-0.418,-2.407,0.02,-2.063,-0.542,0.304,0.931,-0.274,0.323,0.128
105-137,105,137,0,-0.366,-0.918,-0.992,-0.542,-0.736,-1.103,-1.058,0.044,-0.489,-0.51,-0.57,-1.117,-0.441,-0.729,1.038,0.141,0.608,0.677
209-235,209,235,0,-0.782,-0.847,-0.204,-0.825,-1.364,0.089,-1.246,-0.559,-1.801,-0.772,-1.571,-0.137,-0.146,0.364,1.353,-0.431,1.612,0.232
204-229,204,229,0,-0.264,0.281,-0.843,-0.178,-1.058,-0.652,-1.173,-0.659,-1.013,-1.08,-1.003,-0.791,-0.798,0.44,0.509,0.605,0.141,1.265
215-230,215,230,0,-0.384,-0.822,-1.411,-1.156,-0.526,-1.788,-0.512,0.096,0.401,-1.402,-0.186,-2.166,-0.122,-0.742,-1.131,0.399,-1.163,-0.003
204-222,204,222,0,0.072,-0.123,-0.535,0.647,-0.754,-0.998,-0.647,0.344,-0.726,-0.589,-0.735,-0.925,-0.838,0.309,1.115,-0.425,0.829,0.351
204-221,204,221,0,-0.1,-0.316,-0.967,-0.649,-1.121,-0.42,-1.242,-0.576,-1.013,-0.312,-1.039,-0.478,-0.991,0.625,1.09,-0.006,0.622,0.333
