Date(Sub-Obj),Subject, Object, Talked First, Turn Dur, Turn Dur SD, F0 Min, F0 Min SD, F0 Max, F0 Max SD, F0 Mean, F0 Mean SD, F0 SD, F0 SD SD, Pitch Range, Pitch Range SD, RMS Min, RMS Min SD, RMS Max, RMS Max SD, RMS Mean, RMS Mean SD
207-240,207,240,0,0.829,0.105,-1.161,-0.528,-0.955,-0.614,-1.238,-1.605,-1.246,-1.102,-0.779,-0.439,-1.39,1.245,-1.189,0.918,-1.839,0.639
306-328,306,328,0,-1.07,-0.811,-1.26,-1.032,-0.968,-0.35,-1.484,-0.408,-0.315,0.363,-0.763,-0.553,-0.963,2.005,-1.484,1.994,-1.585,0.817
309-335,309,335,0,-0.548,-0.793,-1.319,-0.991,-1.295,-0.343,-1.176,-1.09,-1.247,-0.063,-1.137,-0.295,-0.983,-0.249,-1.818,0.942,-1.541,0.466
211-224,211,224,0,-0.543,-0.364,-0.427,1.244,-0.911,-1.094,-0.554,0.655,-0.882,0.015,-0.958,-0.85,-0.244,0.43,-0.733,1.455,-0.589,1.177
302-325,302,325,0,-0.776,-0.802,-0.709,-0.465,-1.403,0.177,-1.31,-0.735,-1.525,-0.089,-1.459,0.188,-1.223,-0.245,-0.816,0.329,-1.026,0.207
211-226,211,226,0,-0.871,-0.805,-0.571,0.278,-0.849,-1.106,-0.4,-1.086,-0.313,-0.415,-0.838,-0.58,0.006,-0.556,-0.314,0.467,-0.497,0.266
302-327,302,327,0,-0.825,-0.803,-0.656,0.505,-0.617,-1.119,-0.585,-0.187,-0.474,-0.761,-0.533,-1.023,-0.673,-0.378,-1.212,2.195,-1.219,1.423
211-221,211,221,0,0.543,-0.524,-1.24,-1.071,-0.934,-0.858,-0.983,-0.768,-1.107,-0.462,-0.729,-1.064,-0.857,0.144,-0.776,1.665,-1.109,1.469
215-235,215,235,0,-0.207,0.162,-1.147,-0.133,-0.814,-1.077,-0.961,-0.113,-0.625,-0.505,-0.614,-1.273,-0.087,-0.136,-0.374,0.437,-0.569,0.212
302-323,302,323,0,-0.428,-0.405,-0.397,0.281,-1.21,-0.395,-1.095,-0.122,-1.529,-0.569,-1.326,-0.398,-1.279,-1.219,-1.2,1.472,-1.573,1.108
104-122,104,122,0,0.671,0.195,-0.989,0.491,-0.76,-1.58,-0.206,-1.447,-0.944,-0.969,-0.6,-1.24,-1.109,0.091,0.25,0.274,-0.753,0.569
104-123,104,123,0,-1.201,-0.939,0.15,0.993,-1.465,-0.351,-0.694,-1.635,-1.842,-0.32,-1.804,0.138,-0.231,0.138,0.601,-0.188,0.268,0.298
215-239,215,239,0,-0.184,-0.796,-1.48,-1.076,-0.773,-1.22,-0.943,-0.61,-0.183,-0.825,-0.46,-1.415,-0.809,0.005,-1.017,1.034,-1.319,0.39
215-238,215,238,0,-0.414,0.027,-1.284,-0.624,-1.263,-0.884,-1.228,-0.42,-0.705,-0.661,-1.109,-0.961,-0.633,-0.781,-1.779,0.993,-1.582,0.362
302-328,302,328,0,-0.974,-0.726,-0.584,-0.297,-1.116,-0.6,-0.904,-0.462,-0.831,-0.161,-1.154,-0.668,-0.85,-0.194,-1.171,1.654,-1.198,1.263
302-329,302,329,0,-0.833,-0.774,-0.602,0.262,-1.136,-0.313,-0.958,-0.702,-1.474,-0.24,-1.172,-0.09,-0.634,-0.541,-0.604,0.765,-0.484,0.712
104-124,104,124,0,-0.126,-0.251,-0.484,0.737,-1.368,-0.297,-0.624,-1.827,-1.889,-0.455,-1.488,0.283,-0.205,-0.879,0.455,-0.325,0.13,0.041
104-125,104,125,0,-0.119,-0.206,-0.57,0.269,-0.836,-1.346,-0.402,-1.19,-1.064,-0.561,-0.823,-0.884,-0.644,-0.099,-0.847,1.722,-1.053,1.39
115-128,115,128,0,1.088,0.887,-0.927,-0.379,-0.543,-1.675,-0.542,-1.443,-0.543,-1.895,-0.359,-1.711,-0.722,1.35,1.22,-0.64,0.791,-0.242
115-129,115,129,0,-0.234,-0.096,-0.73,-0.648,-0.732,-1.557,-0.62,-0.979,-0.487,-1.0,-0.647,-1.572,-1.249,0.845,0.293,0.818,-0.236,1.141
115-121,115,121,0,-0.206,-0.668,-0.026,0.8,-1.03,-1.024,-0.723,-0.948,-1.103,-1.169,-1.227,-0.751,-0.979,-0.93,0.658,0.313,0.274,0.803
115-122,115,122,0,0.939,1.394,-0.774,-0.072,-0.911,-1.364,-0.85,-1.216,-0.758,-1.185,-0.849,-1.118,-0.999,-1.067,0.774,0.322,0.475,0.332
115-123,115,123,0,-0.77,-0.579,-0.641,-0.515,-1.273,-0.844,-0.893,-0.788,-1.147,-1.205,-1.324,-1.02,-0.249,-1.315,0.423,0.109,0.209,0.597
115-124,115,124,0,0.035,0.754,-0.55,-0.404,-1.32,-0.707,-0.946,-1.158,-1.11,-1.09,-1.409,-0.711,-0.284,-1.001,0.529,-0.047,0.342,0.169
115-126,115,126,0,0.595,0.541,-0.21,0.687,-0.868,-1.105,-0.385,-0.227,-0.728,-0.504,-0.975,-0.942,-1.142,1.686,0.118,1.61,-0.194,2.364
115-127,115,127,0,-1.6,-1.369,0.206,0.647,-1.214,-0.54,-0.596,0.018,-1.045,-0.28,-1.52,-0.636,-0.156,-0.714,-0.3,0.948,-0.07,0.875
310-325,310,325,0,-0.197,0.063,-0.708,0.835,-1.44,0.231,-1.457,0.053,-1.229,0.458,-1.504,0.476,-0.817,0.354,-1.09,1.941,-1.201,1.688
310-327,310,327,0,-0.93,-1.03,-1.479,-0.735,-1.104,-0.563,-1.502,-0.964,-0.583,-0.25,-0.857,-0.634,-0.621,0.345,-0.666,0.571,-0.89,0.209
310-326,310,326,0,0.056,0.15,-1.535,-1.127,-1.192,-0.514,-1.662,-1.371,-0.896,-0.5,-0.945,-0.618,-0.614,-1.241,-1.077,0.948,-1.188,0.788
310-323,310,323,0,-0.296,-0.533,-0.928,1.048,-1.333,-0.431,-1.368,0.635,-0.822,-0.692,-1.306,-0.486,-0.856,-1.055,-1.147,2.207,-1.316,1.44
310-329,310,329,0,-1.18,-0.706,-1.027,-0.326,-1.477,0.079,-1.322,0.018,-0.94,0.028,-1.447,-0.036,-0.907,5.592,-0.513,1.386,-0.394,2.028
219-239,219,239,0,-0.87,-1.187,-0.739,-0.352,-0.722,-1.112,-0.685,-0.321,-0.251,-0.767,-0.632,-1.062,-0.897,0.569,1.111,-0.356,0.547,0.871
219-237,219,237,0,-1.249,-1.312,-1.042,-0.511,-0.819,-0.894,-0.426,-0.57,-0.36,-0.395,-0.654,-1.177,-0.122,2.058,0.995,-0.273,1.106,0.591
219-235,219,235,0,-1.219,-1.356,-0.637,-0.317,-0.769,-0.836,-0.737,0.47,-0.473,-0.535,-0.721,-1.039,-0.248,-0.097,1.169,-0.352,1.133,0.137
219-230,219,230,0,-1.127,-1.569,-1.255,-0.728,-0.702,-1.23,-0.332,-0.051,-0.044,-0.89,-0.446,-1.28,-0.339,-0.667,-0.217,0.596,-0.532,0.625
106-124,106,124,0,-0.493,1.586,-0.557,0.835,-1.304,-0.724,-0.712,-1.344,-1.61,-1.453,-1.388,-1.029,-0.323,0.234,0.338,0.324,0.123,1.06
106-125,106,125,0,-0.695,-0.642,1.198,1.176,-1.184,-1.054,-0.107,0.036,-1.767,-0.967,-1.796,-0.704,-0.494,0.283,-0.425,0.539,-0.676,1.438
106-126,106,126,0,0.927,0.522,-0.007,1.175,-0.574,-1.583,-0.16,-1.054,-0.837,-1.381,-0.686,-1.105,-0.502,-0.158,0.321,0.408,-0.109,0.405
106-127,106,127,0,-1.653,-1.534,0.065,1.174,-0.974,-0.807,-0.397,-1.321,-1.208,-0.592,-1.189,-0.447,0.004,0.8,0.241,0.009,0.425,0.13
106-123,106,123,0,-0.259,0.152,-0.72,0.963,-0.95,-1.281,-0.367,-1.039,-1.114,-1.199,-0.912,-1.055,0.043,-0.885,0.081,0.648,0.045,0.506
106-128,106,128,0,-0.922,-0.726,-0.397,1.087,-0.839,-0.862,-0.383,-1.294,-1.249,-1.149,-0.88,-0.581,-0.005,1.455,0.887,-0.42,0.938,0.298
106-129,106,129,0,-0.459,-0.472,-0.202,1.925,-0.832,-1.04,-0.078,-0.804,-1.102,-0.918,-0.933,0.051,-0.235,1.582,0.543,0.606,0.353,0.717
111-127,111,127,0,-1.058,-1.182,-1.046,-0.342,-0.849,-1.193,-0.83,-0.516,-0.803,-1.587,-0.689,-1.426,-0.221,-0.206,0.503,-0.253,0.372,-0.168
218-230,218,230,1,0.534,-0.1,-0.49,-0.152,-0.524,-1.739,-0.322,-0.652,-0.613,-1.282,-0.473,-1.555,-0.641,0.772,0.91,0.45,0.408,0.912
212-240,212,240,0,2.674,0.224,-1.506,-1.184,-0.801,-0.723,-1.536,-1.958,-1.451,-1.185,-0.485,-0.853,-1.239,-1.848,0.632,-0.589,-0.651,-0.426
218-238,218,238,0,-0.058,-0.243,-0.548,0.263,-1.048,-1.174,-0.755,-0.914,-1.278,-1.712,-1.084,-1.254,-1.102,-0.463,0.014,1.439,-0.453,1.114
203-236,203,236,0,1.67,0.791,-1.665,-0.407,-0.422,-2.075,-0.747,-0.699,-0.093,-1.251,0.019,-1.971,-0.389,-1.173,0.582,0.615,-0.057,0.469
203-237,203,237,0,-0.527,-0.587,-0.86,-0.676,-0.979,-1.0,-0.77,-0.939,-0.893,-0.872,-0.902,-0.98,-0.486,-0.434,0.386,1.296,0.315,1.646
203-235,203,235,0,0.114,0.505,-0.56,0.105,-0.568,-1.418,-0.513,-0.601,-0.577,-1.839,-0.504,-1.093,-0.332,-0.911,0.976,0.177,0.618,0.537
203-230,203,230,0,-0.047,-0.515,-1.301,-0.969,-0.48,-1.826,-0.702,-0.806,-0.079,-1.008,-0.165,-2.014,-0.313,-0.822,0.498,0.42,-0.213,0.445
203-238,203,238,0,0.458,0.165,-1.263,-0.936,-0.83,-0.814,-0.796,-1.118,-0.848,-1.409,-0.597,-0.803,-0.462,-1.376,0.774,0.042,0.276,0.236
203-239,203,239,0,-0.079,-0.766,-0.722,-0.548,-0.728,-0.953,-0.742,-1.108,-0.555,-1.138,-0.645,-0.937,-0.681,0.727,1.188,-0.661,0.589,0.101
304-326,304,326,0,-0.765,-0.924,-0.587,0.465,-1.07,-0.658,-0.774,-0.252,-1.018,-0.133,-1.097,-0.661,-1.339,-0.972,-1.544,2.066,-1.829,1.543
304-328,304,328,1,-0.852,-0.782,-0.317,0.411,-0.881,-1.305,-0.626,-0.527,-0.534,0.311,-0.956,-0.807,-1.334,-0.894,-2.961,2.8,-2.515,1.544
304-329,304,329,0,-1.43,-1.139,0.176,1.642,-1.048,-0.71,-0.544,0.068,-0.864,-0.291,-1.312,-0.769,-1.312,-0.663,-2.997,1.67,-2.332,0.942
116-123,116,123,0,0.726,0.458,-1.56,-1.094,-0.922,-0.86,-0.963,-1.611,-0.759,-1.432,-0.614,-0.869,-0.263,-0.792,0.891,-0.067,0.315,0.296
116-129,116,129,0,1.042,0.642,-1.258,-1.094,-0.68,-1.185,-0.764,-0.738,-0.2,-0.783,-0.418,-1.32,-0.528,1.233,1.266,-0.884,0.543,0.061
104-128,104,128,0,-1.594,-1.261,0.554,1.283,-1.156,-0.583,-0.505,-1.346,-1.685,-0.581,-1.56,-0.269,0.547,-0.096,0.813,-0.679,1.179,-0.403
218-240,218,240,0,2.052,0.28,-1.048,-0.9,-0.653,-1.41,-1.139,-2.0,-1.314,-1.959,-0.453,-1.385,-1.377,-0.684,0.778,-0.63,-0.294,-0.287
219-238,219,238,0,-0.919,-0.992,-1.02,-0.173,-1.079,-0.578,-0.752,0.362,-0.662,-0.66,-0.972,-0.809,-0.481,0.548,-0.15,1.542,-0.122,1.655
205-230,205,230,0,-0.548,-0.852,-1.274,-0.722,-0.81,-0.605,-0.814,1.002,-0.157,-0.527,-0.57,-1.003,-0.88,0.066,-0.744,1.145,-1.246,0.994
311-328,311,328,0,-0.079,-0.36,-0.472,0.318,-1.141,-0.629,-1.039,-1.141,-1.516,-0.559,-1.219,-0.409,-1.267,0.208,0.331,0.471,-0.503,0.898
118-136,118,136,0,3.292,2.479,-1.151,0.541,-0.722,-1.508,-1.106,0.032,-0.606,-1.025,-0.503,-0.892,-0.847,0.26,0.495,1.112,0.322,0.97
205-234,205,234,0,-1.678,-1.83,-0.756,-0.383,-0.576,-1.235,-0.287,-0.348,0.062,-0.595,-0.452,-1.261,-0.131,-0.638,0.796,0.28,0.292,0.436
205-235,205,235,0,-0.184,-0.095,-1.134,-0.069,-0.889,-0.579,-1.147,-0.485,-0.63,-0.256,-0.708,-0.384,-0.513,1.81,0.46,1.076,0.106,1.1
205-236,205,236,0,4.191,2.816,-1.776,-1.532,-0.505,-1.585,-1.061,-1.017,-0.422,-1.643,-0.046,-1.748,-0.666,-0.399,0.768,-0.459,-0.102,0.076
302-326,302,326,0,-1.405,-1.188,-0.202,-0.301,-1.599,-0.035,-1.386,-0.856,-1.887,-0.174,-1.853,-0.254,-0.659,-0.435,-0.463,0.287,-0.589,0.282
205-238,205,238,0,-0.457,-0.532,-0.782,1.58,-1.0,-1.068,-1.026,0.522,-0.583,-0.612,-0.953,-0.71,-1.133,-0.335,-1.124,1.822,-1.584,1.473
205-239,205,239,0,1.521,1.852,-1.489,-0.775,-0.668,-1.305,-1.112,-0.972,-0.072,-1.545,-0.332,-1.765,-1.248,0.94,0.614,0.558,-0.43,1.317
220-240,220,240,0,0.61,0.391,-1.135,-1.151,-0.88,-0.353,-1.416,-0.825,-0.455,0.066,-0.698,-0.409,-1.345,-0.162,-0.14,0.95,-1.14,0.954
112-126,112,126,0,0.924,0.484,-0.681,2.333,-0.664,-1.939,-0.474,0.212,-0.627,-0.578,-0.581,-0.653,-0.566,-0.028,-0.255,1.441,-0.627,0.822
302-337,302,337,0,-0.182,-0.209,-0.471,-0.302,-1.121,-0.793,-1.034,-0.596,-1.055,-0.545,-1.195,-0.813,-1.581,0.312,-1.421,1.608,-1.882,1.239
209-229,209,229,0,0.236,0.571,-0.919,0.459,-0.846,-1.31,-0.62,-0.074,-0.937,-0.964,-0.725,-1.166,-0.273,0.617,0.947,0.843,1.004,1.061
112-124,112,124,0,-0.383,-0.71,-1.335,-0.776,-1.015,-0.901,-0.813,-1.529,-0.833,-0.825,-0.797,-0.934,-0.386,-0.45,0.013,1.198,-0.248,1.041
113-131,113,131,0,-0.459,-0.625,-1.204,-0.678,-1.015,-0.797,-1.089,-0.502,-0.611,-0.854,-0.837,-0.981,-0.476,0.297,0.422,0.107,0.169,0.401
214-240,214,240,0,-0.036,-0.285,-0.556,0.308,-0.94,-1.373,-0.674,-1.32,-1.082,-0.97,-0.952,-1.188,-0.74,-0.971,1.131,-0.7,0.159,-0.014
204-239,204,239,0,0.352,0.08,-1.149,-1.062,-0.693,-1.618,-0.752,-0.422,-0.304,-1.143,-0.469,-1.762,-1.085,0.826,1.365,-0.9,0.841,-0.071
204-238,204,238,0,0.503,0.283,-0.72,0.437,-0.97,-0.84,-0.89,-0.108,-0.991,-1.48,-0.936,-0.703,-0.762,2.029,1.233,-0.647,0.741,-0.145
204-235,204,235,0,1.01,0.521,-0.764,-0.45,-1.065,-0.232,-0.97,0.157,-1.343,-0.448,-1.036,-0.22,-0.492,-0.462,1.525,-1.438,1.441,-0.689
204-234,204,234,0,-1.548,-1.593,-0.121,0.133,-0.789,-1.18,-0.551,-0.423,-0.609,-0.882,-0.907,-1.252,-0.443,0.786,1.048,-0.593,0.616,0.706
204-237,204,237,0,0.243,-0.326,-0.84,-0.077,-0.828,-0.446,-0.549,-0.477,-1.012,-0.901,-0.728,-0.769,-0.48,0.088,1.384,-0.722,1.402,0.006
204-236,204,236,0,1.983,3.144,-0.861,-0.243,-0.567,-1.167,-0.367,-0.72,-0.302,-0.551,-0.409,-1.016,-0.945,-0.074,1.457,-1.24,1.082,-0.497
312-323,312,323,0,-0.874,-0.736,-0.305,1.562,-1.183,-0.653,-0.98,0.316,-1.124,-0.365,-1.322,-0.254,-1.12,-1.128,-1.601,1.415,-1.608,0.877
204-230,204,230,1,-0.634,-0.849,-0.944,-0.832,-0.658,-0.91,-0.489,0.195,-0.125,-0.394,-0.492,-1.148,-0.938,2.429,0.195,1.414,-0.152,2.135
113-130,113,130,0,1.965,0.767,-1.464,-1.425,-0.533,-1.658,-0.786,-1.656,0.374,-1.205,-0.178,-1.768,-0.645,-0.632,-0.04,2.273,-0.422,1.697
111-139,111,139,0,-1.072,-0.823,-0.654,0.186,-1.353,-0.163,-1.306,-0.532,-1.3,-0.601,-1.416,-0.224,-0.258,0.068,-0.003,0.443,0.084,0.191
111-138,111,138,0,-0.515,-0.643,-0.762,-0.037,-1.126,-0.455,-1.123,-0.212,-1.205,-0.49,-1.11,-0.326,-0.555,-0.838,0.642,-0.242,0.238,0.279
111-137,111,137,0,-1.312,-1.368,-0.865,0.093,-0.898,-0.728,-0.701,0.024,-0.797,-1.141,-0.804,-0.941,-0.038,0.275,0.419,-0.014,0.512,0.3
111-136,111,136,1,3.849,3.485,-1.918,-1.089,-0.414,-1.498,-0.869,-1.852,-0.031,-2.028,0.108,-1.608,-0.731,0.925,0.806,-0.632,-0.107,-0.565
111-135,111,135,0,1.16,0.929,-1.267,-0.125,-0.921,-1.006,-0.917,-1.385,-1.101,-1.586,-0.705,-1.052,-0.477,-0.278,0.902,0.097,0.478,0.502
111-134,111,134,0,-0.172,-0.77,-1.015,-0.254,-0.713,-1.58,-0.719,-1.62,-0.793,-1.799,-0.535,-1.526,0.015,0.468,0.839,-0.43,0.527,-0.344
111-133,111,133,0,1.114,0.752,-1.591,-0.836,-0.733,-1.532,-0.967,-0.931,-0.458,-1.645,-0.377,-1.671,-0.537,-0.579,0.669,-0.237,-0.153,0.083
111-131,111,131,0,1.448,0.993,-1.957,-1.205,-0.696,-0.901,-1.138,-1.277,-0.684,-1.408,-0.218,-1.044,-0.949,-0.187,0.861,-0.475,-0.22,0.003
111-130,111,130,0,2.431,2.305,-1.694,0.231,-0.62,-1.164,-0.907,-1.011,-0.39,-1.539,-0.21,-1.178,-0.807,1.604,0.411,0.762,-0.06,1.136
213-229,213,229,0,0.054,0.046,-0.838,-0.288,-1.053,-0.779,-1.16,-0.853,-1.038,-0.191,-0.998,-0.468,-0.3,-0.407,0.145,0.764,0.062,0.658
220-239,220,239,0,0.742,0.59,-1.282,-1.363,-0.82,-0.985,-1.062,-1.575,-0.584,-0.574,-0.58,-1.325,-0.769,-1.099,0.67,-0.398,-0.251,-0.066
220-238,220,238,0,-0.76,-0.526,-0.987,-0.381,-0.975,-0.954,-0.76,-0.868,-0.553,-0.734,-0.858,-1.088,-0.345,-0.377,-0.593,1.442,-0.652,0.926
220-237,220,237,0,0.058,-0.132,-0.892,-0.239,-0.83,-1.079,-0.952,-0.5,-0.762,-0.816,-0.714,-0.768,-0.464,1.625,0.339,0.43,0.079,0.618
220-236,220,236,0,0.689,1.121,-1.203,-0.041,-0.657,-0.795,-0.856,-1.14,-0.422,-1.087,-0.409,-0.631,-0.3,-0.291,0.362,0.661,-0.17,0.502
